Artist,Genre,Song,Lyrics
Flo Rida,Hip-Hop/R&B,Whistle,Can you blow my whistle baby Let me know Girl I'm gon na show you how to do it and we start real slow You just put your lip together and you come real close Can you blow my whistle baby Here we go Look I'm bettin you like people And I'm bettin you love freak mode And I'm bettin you like girl That give love to girl and stroke your little ego I bet you I'm guilty your honor Honor That's just how we live in my genre Genre Who in the hell done paved the road wider There's only one Flo and one Rida I'm a damn shame order more champagne Pulling them hamstring tryna put it on ya Bet your lip spin back around corner Slow it down baby take a little longer Can you blow my whistle baby Let me know Girl I'm gon na show you how to do it and we start real slow You just put your lip together and you come real close Can you blow my whistle baby Here we go Whistle baby whistle Whist-whistle baby whistle Whistle baby whistle Whist-whistle baby whistle It's like everywhere I go my whistle ready to blow Shawty don't even know she can get any for the low Told me she's not a pro it's okay it's under control Show me soprano cause girl you can handle Baby we ll start slow then you come up and park close Girl I'm the whistle man my Bugatti the same note Show me your perfect pitch you got it my banjo Talented with your lip like you blew out a candle So amusing Amusing Now you can make a whistle with the music Music Hope you ain't got no issue you can do it Do Even if it's no picture never lose it Lose Can you blow my whistle baby Let me know Girl I'm gon na show you how to do it and we start real slow You just put your lip together and you come real close Can you blow my whistle baby Here we go Whistle baby whistle Whist-whistle baby whistle Whistle baby whistle Whist-whistle baby whistle Go on girl you can twerk it Let me see you whistle while you work it Ima lay it back don't stop it Cause I love it how you drop it on me Now shorty make that whistle blow-ow-ow-ow Yeah baby make that whistle blow-ow-ow Can you blow my whistle baby Let me know Girl I'm gon na show you how to do it and we start real slow You just put your lip together and you come real close Can you blow my whistle baby Here we go Can you blow my whistle baby Whistle whistle baby Can you blow my whistle baby Whist-whistle whistle baby Can you blow my whistle baby Whistle whistle baby Can you blow my whistle baby Whist-whistle whistle baby
Flo Rida,Hip-Hop/R&B,GDFR,I know what you came here to see If you're a freak then you comin home with me And I know what you came here to do Now bust it open let me see you get loose It's goin down for real It's goin down for real It's goin down for real Yo girl just kissed a girl I do bi chick Shake for a sheik I'm throwin these Emirates in the sky Spendin this As-salamu alaykum peace to M-O-N-E-Y I love my beach south surfboard in high tide I could just roll up cause I'm swole up So that birthday cake get the cobra Bugatti for real I'm cold bruh That auto-biography rover Got the key to my city it's over It's no thots only Anna Kournikova's I set record ratchet hol up I set record ratchet hol up I know what you came here to see If you're a freak then you comin home with me And I know what you came here to do Now bust it open let me see you get loose It's goin down for real It's goin down for real And they already know me It's goin down for real It's going down further than femur Girls get wetter than Katrina Yeah my girl you ve never seen her Cause my tint by limousine My touch say it's the Midas We the plus your man a minus My team blowin on that slam Make you cough-cough that's Bronchitis Put your hand up oh It's a stick up no more makeup Get that as on the floor Ladies put your lipstick up Double entendre double While you're hatin I get money Then I double up tonkers I know what you came here to see If you're a freak then you comin home with me And I know what you came here to do Now bust it open let me see you get loose It's goin down for real It's goin down for real It's goin down for real It's goin down for real It's goin down for real Lift it drop shake it pop Lift it drop shake it pop Lift it drop shake it pop Lift it drop shake it It's goin down for real It's goin down for real It's goin down for real It's goin down for real It's goin down for real
Tamar Braxton,Hip-Hop/R&B,Love and War,Somebody said every day wa gon be sunny sky Only Marvin Gaye and lingerie I guess somebody lied We started discussin then to fightin then don't touch me please Then it's let's stop the madness just come lay with me And truth be told I'm wavin my flag before it go bad yeah Cause we made it this far on for better or worse I wan na feel it even if it hurt If I got ta cry to get the other side Let's go cause we're gon survive oh We stay on the front line Yeah but we're still here after the bomb drop We go so hard we lose control The fire start then we explode When the smoke clear we dry our tear Only in love and war Sometimes you're my general You quarterback all these play Sometimes you're my enemy and I'm throwin grenade We ll just be chillin and laughin I'm layin on your chest I don't know what I did cause thing just went left But here we go back down that road That's just the way that it go Cause we made it this far on for better or worse I wan na feel it even if it hurt If I got ta cry to get the other side As long a you're there I ll survive oh We stay on the front line Yeah but we're still here after the bomb drop We go so hard we lose control The fire start then we explode When the smoke clear we dry our tear Only in love and war As long a we make up after every fight when it's over You know I'm comin home right there where I belong I'm takin all this over Oh-oh-oh-whoa-ooh-oh-oh We stay on the front line Yeah but we're still here after the bomb drop We go so hard we lose control The fire start then we explode baby When the smoke clear we dry our tear Only in love and war Only in love and war Only in love and war
Tamar Braxton,Hip-Hop/R&B,The One,You know very well who you are You're the only one you got my heart And you had a few Boy one too many But I'm the only one to wake you up It wa all a dream I reminisce the way we kissed it felt so personal You took the chance to get my love and now you know It wa all a dream And I don't need no one baby Without you I'm incomplete My love is just like the bar put it all on me I don't want nobody else Baby all I need is you You're the one I want And I don't want nobody else Baby all I need is you You're the one I want You know very well you're a star Cause I don't go that far look where we are And it ain't none like you one in a million But I'm the only one to count you oh It wa all a dream I reminisce the way we kissed it felt so personal You took the chance to get my love and now you know It wa all a dream That I don't even know one baby Without you I'm incomplete My love is just like the bar put it all on me I don't want nobody else Baby all I need is you You're the one I want And I don't want nobody else Baby all I need is you You're the one I want I reminisce the way we kissed it felt so personal You took the chance to get my love and now you know It wa all a dream That I don't even know one baby Without you I'm incomplete My love is just like the bar put it all on me yeah Put it all on me Put it all on put it all on put it all on me Put it all on me Put it all on put it all on put it all on me Put it all on put it all on put it all on me Put it all on put it all on put it all on me
Tamar Braxton,Hip-Hop/R&B,Let Me Know,Do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body When I'm lovin your body when I'm lovin your body Do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body When I'm lovin your body when I'm lovin your body Do you feel it in your heart Do you feel it in your soul When you know when it's right You don't let go you don't let go We ve been through so many thing Ups and down in betweens If you need more love from me I ll give you more just let me know It's that good lovin make you run and go tell somebody Same love that put you through Hell sometimes oh-whoah You don't give it up to nobody When you love somebody when you love somebody Do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body When I'm lovin your body when I'm lovin your body Now when he break your heart Lie to your face when you know When you cry and you cry and try You some more you try some more We ve been through so many thing Ups and down in betweens If you need more love from me I ll give you more just let me know It's that good lovin make you run and go tell somebody Same love that put you through Hell sometimes oh-whoah You don't give it up to nobody When you love somebody when you love somebody Do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body When I'm lovin your body when I'm lovin your body I feel a high all this pure love And so your kiss makin sure of And give it to you get it good love Turn the light down it's goin down And if you don't really like it fast We can go deeper baby don't be scared Love again and Do you want more Let me know It's that good lovin make you run and go tell somebody Same love that put you through Hell sometimes oh-whoah You don't give it up to nobody When you love somebody when you love somebody It's that good lovin make you run and go tell somebody Same love that put you through Hell sometimes oh-whoah You don't give it up to nobody When you love somebody when you love somebody Do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body Hey do you love the way I do when I'm lovin your body When I'm lovin your body when I'm lovin your body
Lil Wayne,Rap,Love Me,I'm on that good kush and alcohol Mike WiLL Made-It I got some down bitch I can call What's happenin I don't know what I would do without yall Ima ball til the day I fall Ima ball Yeah long a my bitch love me Yeah yeah I can give a fuck bout no hater Long a my bitch love me Yeah yeah I can give a fuck bout no nigga Long a these bitch love me Uh pussy-ass nigga stop hatin Lil Tunechi got that fire And these hoe love me like Satan man Yeah fuck with me and get bodied And all she eat is dick She's on a strict diet that's my baby With no makeup she a ten And she the best with that head Even better than Karrine She don't want money She want the time that we could spend She said \Cause I really need somebody So tell me you\'re that somebody Girl I fuck who I want and fuck who I don't Got that A1 credit that's that filet mignon She said I never want to make you mad I just want to make you proud I said Baby just make me cum Then don\t make a sound Slick Tunechi I'm on that good kush and alcohol Yeah I got some down bitch I can call What's happenin I don't know what I would do without yall Ima ball til the day I fall Ima ball Yeah long a my bitch love me My bitch love me Yeah yeah I can give a fuck bout no hater Long a my bitch love me My bitch love me my bitch love me my bitch love me Yeah yeah I can give a fuck bout no nigga Long a these bitch love me Uh real nigga fuck these hater These hoe got pussy like crater Can't treat these hoe like lady man Pussy money weed codeine She said my dick feel like morphine I hope my name taste like sardine to these nigga She wake up eat this dick Call that breakfast in bed I feel her heartbeat I chest-to-chest with this bitch Now turn around face down I'm arrestin this bitch Yeah all my bitch love me and I love all my bitch But it's like a soon I cum I come to my sens And I would say these hoe name But then I would be snitchin And these hater try to knock me But they can't knock me off the hinge Lil Tunechi I'm on that good kush and alcohol Yeah I got some down bitch I can call What's happenin I don't know what I would do without yall I don't know what I would do without yall Ima ball til the day I fall Ima ball Yeah long a my bitch love me My bitch love me Yeah yeah I can give a fuck bout no hater Long a my bitch love me My bitch love me my bitch love me my bitch love me Yeah yeah I can give a fuck bout I lost a few good bitch met some more bad bitch And I be schooling them nigga pose for your class picture Now kiss my as if you hatin I'm getting as or I'm skatin I lost a few good bitch met some more bad bitch And I be schooling them nigga pose for your class picture Now kiss my as if you hatin I'm getting as or I'm skatin Bitch I'm on that good kush and alcohol Tunech I got some down bitch I can call What's happenin I don't know what I would do without yall I don't know what I would do without yall Ima ball til the day I fall Ima ball Yeah long a my bitch love me My bitch love Yeah yeah I can give a fuck bout no hater Long a my bitch love me My bitch love me my bitch love me my bitch love me Yeah yeah I can give a fuck bout no nigga Yeah Long a these bitch love me
Lil Wayne,Rap,Believe Me,I'm the only one that get the job done I don't know a nigga that could cover for me Yeah got some game from my dad He said she might say she love me She don't love me like she say love me Believe believe me I'm that nigga boy they love me in the street I'm not tryna find nobody else to beat I'm the one they come to see because they all Believe me Yeah rip It's been me and Young Tune off the rip That's the man that put me in this shit If a nigga fuck with him I ll put him down quick Got a verse for anybody wan na talk about the clique I ve been takin shit light you don't wan na hear me trip God damn do yall really know who yall fuckin with Yeah I mean you can't blame me for wonderin Doesn't matter could be winter or the summer On the road I do One Direction number I don't fuckin miss Yeah Stunna and Mack know When Wayne wa gone for eight month we put this thing up on our back And I wa snappin off on every single track though Collect call from the bos like where we at though I wa like Hah it\'s our time nigga He left Rikers in a Phantom that's my nigga And I ll been rockin with the team til Carter IX And we YMCMB waitin on somebody to try u nigga Yeah I'm the only one that get the job done I don't know a nigga that could cover for me Yeah got some game from my dad He said she might say she love me She don't love me like she say love me Believe believe me I'm that nigga boy they love me in the street I'm not tryna find nobody else to beat I'm the one they come to see because they all Believe me Lord know I ll murk one of these nigga yeah His and hers Ferraris nigga One for me one for my daughter nigga Waitin for someone to test me like a Harvard nigga I tote a two Michael Jordans nigga Come on fight these shell case like a lawyer nigga Find out where you stay and act like we found some oil nigga Out of duct tape so when he prayin I ignore the nigga All I got ta say is sayonara nigga Drop dead gorgeous but the bitch ain't dyin for a nigga Where the real queen at Shout out Capone and Noreaga We can shoot it out and see who live to tell the story later Diamonds in my Rollie face can not be exfoliated They think I'm associated I'm the one that orchestrated Yayo get her as whipped whip that as like horse racin Ain't bout what you walk away from it's bout what you walk away with Dead Presidents them coffin vacant I must be doin somethin I'm the only one that get the job done I don't know a nigga that could cover for me Yeah got some game from my dad He said she might say she love me She don't love me like she say love me Believe believe me I'm that nigga boy they love me in the street I'm not tryna find nobody else to beat I'm the one they come to see because they all Believe me Had to get it poppin off the rip Rich young nigga that ain't never had to trick Slim Thug flow but you know I like em thick If she get a job at DOA I drop her off a tip I had to get it poppin off the rip I'm the one they tell yah been reppin in the Come into the city and yah nigga get to trippin We ll take yah to the Scarborough Bluff and drop you off a cliff Well damn just be happy for the man Nirvana Coldplay nigga got band Ink from the money got it all over my hand Goin out to Houston spendin all of my advance'V Live just took me for a cheque Drake you know I love you just took me outta debt Yes right now you are lookin at the best Mothafuck award show and mothafuck the press like that Mothafuck the rest When they jumped off the porch I wa stumblin up the step I'd give what I collect before I give up my connect It'd be a cold day in Hell icicle made of sweat One finger slidin cross my neck Niggas know what that mean like they deaf Nigga I ll fire this nina like it's her first day On the job and the bitch overslept Tune stay humble nigga I'm a king Need a horn and a drumroll They throw mothafuckin rose at my foot nigga I don't step on one rose I'm the only one that get the job done I don't know a nigga that can cover for me Tape a couple kilo to the bitch stomach She look like she got a bun in the oven from me Preheat believe me All you got ta do is pay me every week I had these bitch havin baby every week I'm the nigga see me skatin in the street Gone Rip rip nigga
Lil Wayne,Rap,Mona Lisa,I got a story to tell you know that I cherish thee Hope it ain't too many feeling involved I see nigga in this bitch Stuntin poppin bottle Gettin drunk with these bitch And when they leave get followed Fall asleep with that bitch And really don't know much about her Then she let u in we take all of your shit And when you wake up she help you try to find it I love it I be with bitch that be with bitch That be with nigga rich I tell her Get him she say I got you I say No bitch I said get him And they so pretty and they hair lengthy He hit it and sleep on her titty Then she give u the word we come through with AKs It's a stick-up she scream like a victim Now you feelin so silly I smoke color purple I'm up in here feelin like Celie Ooh Nappy-ass dread what's that you say Watch your mouth Milli Vanilli Ooh You can get snaked you can get faked Out by the bitch that you feelin Cause you thought that she wa an angel That bitch ain't no angel I treat her halo like a frisbee And you tellin your business she tell me your business You tell that bitch what you feelin All of the bean you be spillin To you she lie through her teeth cavity fillin's She know where you hide it tell me where it's hidden She know when you're gone tell me when to visit We break in your home and take the specific And meanwhile the bitch is on vacation with him So she don't get blamed we don't snatch chain We find out address and we don't leave mess You ll only know that it's gone when you check it Then your first thought is to start second guessin She say What\'s wrong He say Nothin\ keep restin\ She say What\'s missin\ How you know somethin\ missin\ He scratch his head she say Get back in bed And she gave him some head Boy you can't trust them bitch and then she say—ooh I see nigga in this bitch Stuntin poppin bottle Gettin drunk with these bitch Then when they leave get followed I be with bitch that know the bitch That's with the nigga we followin Get them on the line stay two car behind And tell them hoe Don\t be so obvious Mona Lisa long hair don't care She handle the business and don't ever tell She bite the bullet and cough up the shell She tell \em Ooh daddy let\'s go to your place And if he say yeah then we meet him there She feed him lie with his silverware She don't want love she just want her share I know a bitch named Liz This nigga think she his cause she tell him that it is So he tell her all his secret he tell her all his fear And then she tell me and I be all ear And then I go and tell my people and they already know him And then I call Liz and she say he comin over I say Good girl just remember what I told ya She gave me the salute I say Girl you\'re a soldier We're waitin outside watch him pull up Walk to the door and right before he knock She open the door naked she left it unlocked They started French kissin so he didn't see moi And then she let him in they stopped on the couch Music up loud with his head in the cloud Turn that shit down and I scared the piss out of him Piss a nigga off put a gun to his frown Nigga turn around I ain't here to fuck around I ain't here to fuck around caught you wit your pant down You know what it is put your fuckin hand up Liz that's enough you can put your hand down And then he looked dead at her and he shook his head at her She a good actress and you a dead actor You ll be dead after we get what we're after If Liz call you daddy she about to be a bastard oh I got way too many bitch that do anything for me nigga But think for me nigga Send her to you like she ain't for me nigga I hope you alone like bankruptcy nigga She pour you a drink that drank on me nigga She slip somethin in it now faint for me nigga Mona Lisa I done painted the picture Mo-Mona Lisa out the frame on these nigga Pussy got you out of character nigga You fall for these hoe off your ladder my nigga Take everythin that you have til you don't even have an opinion We have your attention And now you're lookin down a barrel though nigga Now she lookin for her pantyhose nigga We just lookin for the casserole nigga But she gon show u where you stash it though nigga Mona Ah every day she wake up with a different color makeup And a promise he gone take her to the movie and the mall Chillin with the Laker on the floor fourth quarter Four minute on the clock Black Mamba with the ball Paparazzi lookin at em both poppin up and take a picture uh Probably on a Internet blog In a minute he gon be admittin that he love her on his mother Man he want to meet her mother by tomorrow Mona Lisa Pussy good enough it got him sinnin in the wall And he diggin in it like he livin in it Make a new religion with it man a nigga bout to go against God Poetry in a pear tree Sweet tone like a hummingbird when she asked him Did he want to make love in a yellow taxi Never gave two fuck jumped in the backseat Woke up in the mornin to The Great Gatsby Then he dogged it again like the bitch Lassie I'm a dog in the wind I'm a pit laughin Ima call up again like I did last week Make good with the friend and I'm all jazzy Britney with the twin and the girl Ashley Found out that I fucked he wa unhappy Bitch I never let the bullshit get past me Better yet I wan na break up don't you ask me Bout a motherfuckin double standard actin Fuckin on another nigga that's a negative alone But you sucked his dick That's just nasty Matter of fact bitch gim me your phone No You fuckin with Wayne's No Bitch gim me your phone No Let me let take this call real quick lick me like a lollipop He on your fuckin ringtone Is that the shit that you do Touchin yourself lookin at Kendrick video Jump on the internet watchin his interview I don't know what the fuck lately got into you Tell me who love you I bet I love harder Forgot all the shit that I did for your daughter The Pampers the Pedialyte and my momma Daycare after school and she never did charge ya You scandalous a fuck and I hope you blow up You know what I give up let me go get my gun I got one in the chamber I'm plannin on aimin Goddammit you know that the damage is done Bitch I'm emotional cause I'm in stress I'm not supposed to go through this I guess So in conclusion since you like rapper that's killin that pussy I'm killin myself She say ooh Daddy Mona Lisa Ooh fake smile Mona Lisa She say ooh no emotion Mona Lisa Now he get the picture Mona Lisa yeah
"Tyler, the Creator",Rap,Yonkers,Uh Wolf Haley Golf Wang yeah I'm a fuckin walkin paradox no I'm not Threesomes with a fuckin triceratops Reptar Rappin a I'm mockin deaf rock star Wearin synthetic wig made of Anwar's dreadlock Bedrock harder than a motherfuckin Flintstone Making crack rock outta pussy nigga fishbone This nigga Jasper tryin to get grown About five seven of his bitch in my bedroom Swallow the cinnamon Ima scribble this sin and shit While Syd is tellin me that she's been getting intimate with men Syd shut the fuck up Here's the number to my therapist Shit You tell him all your problem he's fuckin awesome with listenin Uh Wolf Haley uh Golf Wang Uh Wolf Haley Golf fuckin Wang Jesus called he said's sick of the dis I told him to quit bitchin this isn't a fuckin hotline For a fuckin shrink sheesh I already got mine And he's not fuckin workin I think I'm wastin my damn time I'm clockin three past six and goin postal This the revenge of the dick that's nine cock that's This ain't no V. Tech shit or Columbine But after bowling I went home for some damn Adventure Time What'd you do I slipped myself some pink Xannies Yeah And danced around the house in all-over print panty My mom's gone that fuckin broad will never understand me I'm not gay I just wan na boogie to some Marvin What you think of Hayley Williams Fuck her Wolf Haley robbin them I ll crash that fuckin airplane that faggot nigga B.o.B is in And stab Bruno Mars in his goddamn esophagus And won't stop until the cop come in I'm an overachiever so how about I start a team of leader And pick up Stevie Wonder to be the wide receiver Cool Green paper gold teeth and pregnant golden retriever All I want fuck money diamond and bitch don't need em But where the fat one at I got somethin to feed em It's some cooking book the black kid never wanted to read em Snap back green ch-ch-chia fuckin leaf It's been a couple month And Tina still ain't perm her fuckin weave Damn Uh Wolf Haley uh Golf Wang Uh Wolf Haley Golf Wang yeah Goddamn goblin Wolf Haley uh Golf Wang Uh Wolf Haley Golf Wang yeah They say success is the best revenge So I beat DeShay up with the stack of magazine I'm in Oh not again another critic writing report I'm stabbin any bloggin faggot hipster with a pitchfork Still suicidal I am I'm Wolf Tyler put this fuckin knife in my hand I'm Wolf Ace gon put that fuckin hole in my head And I'm Wolf that wa me who shoved a cock in your bitch What the fuck man Fuck the fame and all the hype'G I just wan na know if my father would ever like me But I don't give a fuck so he's probably just like me A motherfuckin goblin Fuck everything man That's what my conscience said Then it bunny-hopped off my shoulder now my conscience dead Now the only guidance that I had is splattered on cement Actions speak louder than word let me try this shit Dead
"Tyler, the Creator",Rap,EARFQUAKE,For real for this time For real for this time Bitch I can not fall short For real for this time Uh yeah For real for this time Cause you make my earth quake Oh you make my earth quake Riding around your love be shakin me up And it's making my heart break Cause you make my earth quake Oh you make my earth quake Earthquake ooh Riding around your love be shakin me up And it's making my heart break Don't leave it's my fault Don't leave it's my fault Don't leave it's my fault Girl Cause when it all come crashing down I ll need you Cause make my earth quake Oh you make my earth quake Riding around you're telling me something is bad And it's making my heart break Cause you make my earth quake oh you make my earth quake Earth yeah Riding around your love be shakin me up And it's making my heart break You already know We ain't got ta ball D. Rose huh I don't give a fuck bout none huh Breathin like fuck my lung huh Just might call my lawyer huh Plug gon set me up huh Yeah Bih don't set me up Okay I'm with Tyler yuh Slime He ride like the car huh And she wicked huh yuh Like Woah Vicky huh yeah Like Woah Vicky Oh my God hold up um These diamond not Tiffany huh yeah Woah woah So in love I been so in love So in love I been so in love Don't leave it's my fault Fault Don't leave it's my fault Don't leave it's my fault Igor ayy Cause when it all come crashing down I ll need you Ayy ayy Cause you make my earth quake I don't want no confrontation And you don't want my conversation I don't want no conversation I just need some confirmation on how you feel for real For You don't want no complication I don't want no side information I don't want no side information I just need to know what's happening cause I'm for real For I said don't leave it's my fault One I said don't leave it's my fault Two two Don't leave it's it's my fault girl Three three Don't do-do-do-do-do I ll need-
"Tyler, the Creator",Rap,See You Again,Okay okay oh You live in my dream state Relocate my fantasy I stay in reality You live in my dream state Any time I count sheep That's the only time we make up You exist behind my eyelid Now I don't wan na wake up vision Cupid hit me Cupid hit me with precision eye Wonder if you look both way When you cross my mind I said I I'm sick of chasing You're the one that's always running through my day dream I I can only see your face when I close my eye Can I get a kiss And can you make it last forever I said I'm bout to go war And I don't know if Ima see you again Can I get a kiss Can I And can you make it last forever Can you I said I'm bout to go war I'm bout to And I don't know if Ima see you again Ugh switch it up I said okay okie dokie my infatuation Is translatin to another form of what you call it Love Oh yeah oh I ain't met you I ve been looking stop the waiting Fore I stop the chasing like an alcoholic You don\t understand me what the fuck do you mean It's them rose-tinted cheek yeah it's them dirt-colored eye Sugar honey iced tea bumblebee on the scene Yeah I'd give up my bakery to have a piece of your pie Uugh vision Cupid hit me cupid hit me with precision I Wonder if you look both way When you cross my mind I said I I'm sick of chasing You're the one that's always running through my day dream I I can only see your face when I close my eye So Can I get a kiss Can I get a kiss And can you make it last forever Make it last forever I said I'm bout to go war Bout to go war I don't know if Ima see you again See you again Can I get a kiss Can I And can you make it last forever Can you I said I'm bout to go war Bout to And I don't know if Ima see you again Okay okay oh La la Okay okay oh La la One more time
Warren G,Rap,Regulate,Regulators We regulate any stealin of his property We're damn good too But you can't be any geek off the street You got ta be handy with the steel if you know what I mean Earn your keep Regulators mount up It wa a clear black night a clear white moon Warren'G wa on the street tryin to consume Some skirt for the eve so I can get some phone Rollin in my ride chillin all alone Just hit the east side of the LBC On a mission tryin to find Mr. Warren'G Seen a car full of girl ain't no need to tweak All you skirt know what's up with So I hook a left on and Lewis Some brother shootin\ dice so I said Let\'s do this I jumped out the ride and said What\'s up Some brother pulled some gat so I said I\'m stuck Since these girl peepin me Ima glide and swerve These hooker lookin so hard they straight hit the curb Onto bigger better thing than some horny trick I see my homie and some suckas all in his mix I'm gettin jacked I'm breakin myself I can't believe they takin Warren's wealth They took my ring they took my Rolex I looked at the brother said Damn what\'s next They got my homie hemmed up and they all around Can't none of them see him if they goin straight pound-for-pound They wan na come up real quick before they start to clown I best pull out my strap and lay them bustas down They got gun to my head I think I'm goin down I can't believe it's happenin in my own town If I had wing I would fly let me contemplate I glanced in the cut and I see my homie Nate Sixteen in the clip and one in the hole Nate Dogg is about to make some body turn cold Now they droppin and yellin it's a tad bit late Nate Dogg and Warren'G had to regulate I laid all them bustas down I let my gat explode Now I'm switchin my mind back into freak mode If you want skirt sit back and observe I just left a gang of hoe over there on the curb Now Nate got the freak and that's a known fact Before I got jacked I wa on the same track Back up back cause it's on N-A-T-E and me the Warren to the'G Just like I thought they were in the same spot In need of some desperate help But Nate Dogg and the'G child Were in need of somethin else One of them dame wa sexy a hell I said Ooh I like your size She said My car\'s broke down and you seem real nice Would you let me ride I got a car full of girl and it's goin real swell The next stop is the Eastside Motel I'm tweaking into a whole new era G-funk step to this I dare ya Funk on a whole new level The rhythm is the bass and the bass is the treble Chords string we brings melody G-funk where rhythm is life and is rhythm If you know like I know You don't wan na step to this It's the G-funk era funked out with a gangsta twist If you smoke like I smoke Then you're high like everyday And if yo as is a busta will regulate
Warren G,Rap,Party We Will Throw Now,As I travel this lonely gangster road Just me and my negro We still got bomb hydro We just double independent And the night fall that's when young girl go home Big girl put on small clothes A party we will throw A party we will throw now Yeah all I need is the chronic to keep me fit A bad bitch a project apartment and pit Red chuck a red Bic to keep my kush lit Thank god for what I get but never really needed shit I'm a hustler nigga that's how I got this red Bentley Slay the competition and told them that Dre sent me Walk through the smoke like what up loc Cause Warren got that bomb kind that make me choke We gon na twist up for Nate blow the smoke through the cloud In hope that it reach the pearly gate Now how many nigga wan na throw up a dub And be surrounded by the baddest bitch up in the club yeah It's the math blood six on the ave cuz Phantom got your girl pussy wetter than my bathtub Fuck her all night wake her up at Lil mama grab your shit get ghost As I travel this lonely gangster road Just me and my negro We still got bomb hydro We just double independent And the night fall that's when young girl go home Big girl put on small clothes A party we will throw A party we will throw now Click-clack what up zig-zag run up Knick-knack paddywhack twisting up a fat sack Tic tac toe up I be in them street like an Intersection I got connection from every section Critical political it's killer Cal Roll it up now pas that shit around My mental is cynical original Thinking you could see u I'm like nigga how I'm in that diamond lane I'm in that diamond chain Glistenin glowin I'm sippin liquor I'm blowin zipper My nigga I'm on one I'm twistin the zone up I'm sitting up low my pistol shinin my chrome up My nigga Game got the gun load one shot Mix a nigga brain like some gumbo uh oh All that tough talk nigga what for Shut your scary as up at the front door As I travel this lonely gangster road Just me and my negro We still got bomb hydro We just double independent And the night fall that's when young girl go home Big girl put on small clothes A party we will throw A party we will throw now Couldn't nobody dis my nigga Damn I miss my nigga pour out a little liquor Big Nate Dogg nigga From the city by the sea where them Gs ride Turn around baby let me listen to the b-side Slap that tap after that East side As I travel this road I see the street sign Ready for whatever Beretta's you know I keep mine It's the L-B C-P-T nigga we be OG to BG that's where the weed be Killer what Cali-forni-a Eh load the strap hop into the six-trey Snoop what up loc I'm headed to the East side'G ride throwin up everything but the peace sign Gold Daytonas gangbang persona Nigga trip Ima pop the top off his Corolla As I travel this lonely gangster road Just me and my negro We still got bomb hydro We just double independent And the night fall that's when young girl go home Big girl put on small clothes A party we will throw A party we will throw now
Warren G,Rap,This D.J.,It's kind of easy when you listen to the Gd-up sound Pioneer speaker bumpin a I smoke on a pound I got the sound fo yo as and it's easy to see That this D.J be Warren'G Can I get in where I fit in Sit listen uh-huh Let me conversate better yet Regulate Shake the spot with my knot may fade Cause I don't like to dream about gettin paid I played ball through the hall of CIS With Snoop Dogg's big brother call him Dirty Left Rack em up crack em up stack em up against the gate The homies tryin ta catch me but they can't wait Damn the street light just came on And my momma's in the street tellin me to come home I hit the gate and I hop on my Schwinn And I tell the homies Aight then yeah It's kind of easy when you listen to the Gd-up sound Pioneer speaker bumpin a I smoke on a pound I got the sound fo yo as and it's easy to see That this D.J be Warren'G It's kind of easy when you listen to the Gd-up sound Pioneer speaker bumpin a I smoke on a pound I got the sound fo yo as and it's easy to see That this D.J be Warren'G Verse two uh-huh now what the fuck I do Catch the bus to Cal State or chill with the Voltron crew And make a few end on the side Here come a baby blue van time to ride So I hop in the van with my nigga Tick And Baby Poppa back then that wa my clique We groovin to Santa Ana And we plan-on makin hellafied mount of money hell yeah And what I did for extra fee Was break nigga after work playin get like me I wa fourteen year old havin a sack Just a young motherfucker eatin ValuPaks Shootin dice in the corner of them public school And I used to gangbang but now it's a'G thang And I still know how to make those end You don't believe me go ask The Twinz motherfucker It's kind of easy when you listen to the Gd-up sound Pioneer speaker bumpin a I smoke on a pound I got the sound fo yo as and it's easy to see That this D.J be Warren'G It's kind of easy when you listen to the Gd-up sound Pioneer speaker bumpin a I smoke on a pound I got the sound fo yo as and it's easy to see That this D.J be Warren'G Yeah check dis out this is I'm O.G.L.B KnowhatImsayin I'm on my little O.G Warren'G And he just droppin this to let you BG's know What's happen yall got to recognize Cause this is yknow a Long Beach thang 21st Street but check this out'G gon na go out there yaknowhatImsayin And handle that shit ynow Yeah It's kind of easy when you listen to the Gd-up sound Pioneer speaker bumpin a I smoke on a pound I got the sound fo yo as and it's easy to see That this D.J be Warren'G It's kind of easy when you listen to the Gd-up sound Pioneer speaker bumpin a I smoke on a pound I got the sound fo yo as and it's easy to see That this D.J be Warren'G Hey Greg I hope you wa tapin that shit
